STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/2/1973,,,24.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/3/1973,,,23.6,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/4/1973,,,23.5,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/5/1973,,,22.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/6/1973,,,23.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/7/1973,,,23.4,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/8/1973,,,24.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/9/1973,,,24.1,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/10/1973,,,22.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/11/1973,,,21.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/12/1973,,,22.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/13/1973,,,22.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/14/1973,,,22.4,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/15/1973,,,22.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/17/1973,,,22.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/22/1973,,,23.5,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/24/1973,,,22.5,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/26/1973,,,22,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/28/1973,,,22.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,4/29/1973,,,22,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/1/1973,,,21.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/3/1973,,,20.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/5/1973,,,20.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/6/1973,,,22.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/7/1973,,,21.4,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/8/1973,0,",,I",20.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/9/1973,,,20,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/10/1973,,,19.6,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/11/1973,,,19,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/12/1973,,,17.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/13/1973,0,",,I",18.7,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/18/1973,,,23,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/19/1973,0,",,I",22.4,"H,,S",,,22,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/20/1973,,,23.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/22/1973,,,22.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/24/1973,0,",,I",22.3,"H,,S",,,20,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/30/1973,,,22.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,5/31/1973,,,22.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/3/1973,,,19.6,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/4/1973,,,19.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/9/1973,,,18.5,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/11/1973,,,20,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/12/1973,7.1,",,I",21,"H,,S",,,19,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/13/1973,0,",,I",19.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/16/1973,,,22,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/17/1973,,,21.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/18/1973,,,19,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/21/1973,0.3,",,I",17.2,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/22/1973,0,",,I",18.8,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/24/1973,,,19.5,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/26/1973,,,21,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/27/1973,,,21,"H,,S",,,19,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/28/1973,,,21.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,6/29/1973,,,19.6,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/8/1973,,,19,"H,,S",,,14,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/9/1973,,,19.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/10/1973,,,18.6,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/13/1973,,,21.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/14/1973,,,20.4,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/18/1973,0,",,I",19,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/20/1973,6.1,",,I",19,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/22/1973,,,18.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/23/1973,,,20.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/27/1973,,,19.8,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,7/31/1973,,,19,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/5/1973,,,16.2,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/7/1973,,,17.3,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/19/1973,0,",,I",20.5,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/20/1973,0,",,I",18.3,"H,,S",25,",,I",15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/21/1973,,,17,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/23/1973,,,17.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/25/1973,,,17.6,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/26/1973,,,19.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,8/28/1973,,,18.5,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/4/1973,,,16.8,"H,,S",,,14,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/5/1973,,,20,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/6/1973,,,20.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/7/1973,7.1,",,I",18.2,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/9/1973,8.9,",,I",17.3,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/10/1973,0,",,I",18,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/11/1973,,,16.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/13/1973,,,16.2,"H,,S",20,",,I",16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/14/1973,0,",,I",17.5,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/15/1973,,,18.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/16/1973,,,18.8,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/17/1973,,,19.5,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/18/1973,,,19,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/19/1973,0,",,I",19.6,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/21/1973,,,19,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/22/1973,,,19.8,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/23/1973,,,19.5,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/26/1973,,,19.5,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/27/1973,,,19.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/28/1973,,,18,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,9/29/1973,,,17.3,"H,,S",,,14,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/1/1973,,,18.8,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/2/1973,,,18.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/4/1973,,,18,"H,,S",,,17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/5/1973,,,18.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/6/1973,,,18.8,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/7/1973,,,19.4,"H,,S",,,13,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/8/1973,,,17.8,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/9/1973,,,17.8,"H,,S",,,15,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/11/1973,,,19.7,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/13/1973,,,20.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/17/1973,,,19.8,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/18/1973,0,",,I",19.3,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/20/1973,,,18.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/22/1973,,,20.5,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/24/1973,0,",,I",20.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/25/1973,,,21.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/26/1973,,,18.9,"H,,S",23,",,I",17,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/27/1973,,,20.5,"H,,S",,,10,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/28/1973,,,21,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/29/1973,,,20.8,"H,,S",,,19,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/30/1973,,,19.5,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,10/31/1973,,,20.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/4/1973,,,19,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/8/1973,,,21.5,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/9/1973,,,22.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/11/1973,,,22.6,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/12/1973,,,21,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/13/1973,,,20.8,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/14/1973,,,19.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/15/1973,,,22,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/16/1973,0,",,I",21.8,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/19/1973,,,20.8,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/20/1973,,,21.7,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/22/1973,,,22.3,"H,,S",,,21,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/23/1973,,,21.6,"H,,S",,,20,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/24/1973,,,22,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/25/1973,,,21,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/28/1973,,,22.4,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/29/1973,,,20.4,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,11/30/1973,,,21.8,"H,,S",24,",,I",,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/1/1973,,,20,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/2/1973,7.1,",,I",20.4,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/3/1973,0,",,I",23,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/5/1973,2,",,I",22.2,"H,,S",,,19,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/6/1973,0,",,I",21,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/8/1973,0,",,I",22.3,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/12/1973,,,22.1,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/13/1973,,,21.2,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/15/1973,,,21.6,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/16/1973,,,22.6,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/18/1973,,,21.5,"H,,S",25,",,I",,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/20/1973,,,21.8,"H,,S",25,",,I",,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/21/1973,0,",,I",20.7,"H,,S",,,16,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/22/1973,0,",,I",21.5,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/23/1973,,,22.5,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/24/1973,,,22.1,"H,,S",29,",,I",,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/25/1973,,,24.4,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/27/1973,,,22.2,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/28/1973,,,24.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/29/1973,18,",,I",23,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/30/1973,0,",,I",24,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,12/31/1973,,,23.6,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/3/1974,,,24.3,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/4/1974,0,",,I",24.7,"H,,S",,,22,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/5/1974,,,23.5,"H,,S",,,21,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/8/1974,,,23.4,"H,,S",,,21,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/9/1974,,,23.5,"H,,S",,,18,",,I"
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/10/1974,,,24,"H,,S",,,,
CI000085469,"ISLA DE PASCUA, CI",-27.167,-109.433,69,1/11/1974,,,23.5,"H,,S",28,",,I",,
